c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
1.941,0.858,1.08871,3.2908,-2.24842,-0.0815419,0.0237338,0.33295,0.0827584,-0.0204044,-0.319353,-0.0528666,0.318071,0.202182,-0.712551,0.591797,-0.15033,-0.37413,0.150568,0.902639,0.386557,0.0196385,0.0408623,-0.011494,-0.163828,0.380774,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.94361,0.890744,1.09678,3.28852,-2.2798,-0.0866214,0.0284867,0.321878,0.0786071,-0.0251572,-0.308282,-0.0487152,0.328381,0.217109,-0.707621,0.586772,-0.144864,-0.384328,0.166606,0.896409,0.386825,0.0177738,0.039143,-0.00715475,-0.168184,0.378976,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.9467,0.922369,1.10443,3.28576,-2.31007,-0.0912835,0.0332206,0.310585,0.0744109,-0.0298911,-0.296989,-0.044519,0.338659,0.231881,-0.702441,0.581479,-0.139207,-0.394574,0.182375,0.88976,0.38708,0.0159792,0.0373487,-0.00259109,-0.172305,0.37718,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.95026,0.952854,1.11166,3.28254,-2.33919,-0.0955238,0.0379322,0.299077,0.0701727,-0.0346028,-0.285481,-0.0402808,0.348899,0.246491,-0.697016,0.575917,-0.133353,-0.404858,0.197866,0.882698,0.387323,0.0142579,0.0354823,0.0021852,-0.17618,0.375388,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.95428,0.982177,1.11847,3.27885,-2.36716,-0.0993383,0.0426183,0.287363,0.0658956,-0.0392889,-0.273767,-0.0360037,0.359096,0.260935,-0.691349,0.570087,-0.127301,-0.415171,0.21307,0.875231,0.387553,0.0126126,0.033547,0.00716178,-0.179798,0.373606,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.95878,1.01032,1.12484,3.27468,-2.39394,-0.102723,0.0472755,0.275452,0.0615825,-0.043946,-0.261855,-0.0316906,0.369244,0.275207,-0.685445,0.56399,-0.121045,-0.4255,0.227976,0.867366,0.387768,0.0110461,0.0315458,0.0123258,-0.183151,0.371839,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.96374,1.03726,1.13078,3.27006,-2.41952,-0.105675,0.0519005,0.26335,0.0572365,-0.048571,-0.249754,-0.0273447,0.379338,0.289301,-0.679308,0.557628,-0.114584,-0.435835,0.242577,0.859113,0.38797,0.00956089,0.0294822,0.0176641,-0.18623,0.37009,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.96916,1.06298,1.13629,3.26497,-2.44389,-0.108191,0.05649,0.251068,0.0528607,-0.0531606,-0.237472,-0.0229689,0.389374,0.303212,-0.672941,0.551,-0.107915,-0.446165,0.256865,0.850478,0.388158,0.00815946,0.0273595,0.0231627,-0.189027,0.368365,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.97504,1.08747,1.14135,3.25943,-2.46701,-0.110268,0.0610409,0.238613,0.0484582,-0.0577115,-0.225017,-0.0185663,0.399346,0.316935,-0.66635,0.544108,-0.101034,-0.456478,0.27083,0.84147,0.38833,0.0068441,0.0251811,0.0288075,-0.191535,0.366667,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.98137,1.1107,1.14598,3.25343,-2.48888,-0.111904,0.0655499,0.225995,0.044032,-0.0622205,-0.212399,-0.0141401,0.409248,0.330464,-0.659538,0.536953,-0.0939398,-0.466763,0.284466,0.832098,0.388488,0.00561699,0.0229508,0.034584,-0.193747,0.365002,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.98814,1.13266,1.15016,3.24698,-2.50949,-0.113096,0.0700139,0.213222,0.0395853,-0.0666844,-0.199626,-0.0096934,0.419075,0.343796,-0.652511,0.529538,-0.0866302,-0.477008,0.297765,0.822371,0.388631,0.00448015,0.0206721,0.0404773,-0.195658,0.363373,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
1.99537,1.15334,1.15389,3.24009,-2.5288,-0.113842,0.0744296,0.200304,0.0351212,-0.0711002,-0.186708,-0.00522931,0.428822,0.356925,-0.645272,0.521862,-0.0791034,-0.487202,0.310721,0.812299,0.388758,0.00343545,0.0183489,0.0464722,-0.197262,0.361785,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
2.00303,1.17272,1.15718,3.23277,-2.54682,-0.114141,0.078794,0.187249,0.0306429,-0.0754645,-0.173653,-0.000750986,0.438484,0.369846,-0.637826,0.513929,-0.0713579,-0.497334,0.323326,0.80189,0.38887,0.00248462,0.0159848,0.0525532,-0.198557,0.360241,1.20237,0.191531,-0.0202674,0.308053,-0.296383,1.46223,3.0,3.0,6.0,6.0,3.0,3.0
