timestep,c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
0.0,74.2419,-68.8218,23.5959,73.0243,-70.252,22.5788,0.0162575,0.523376,0.0465592,-0.774944,0.201041,0.509458,-0.183234,-0.00335767,0.286876,0.940275,-0.257145,0.080926,0.0186322,0.962798,0.637718,-0.250637,-1.30436,0.406908,-0.138094,-0.748607,3.23165,0.10151,-4.06905,2.77672,-0.423341,-2.5068,6.0,3.0,3.0,6.0,3.0,3.0
10000.0,74.2372,-68.7732,23.5996,72.9532,-70.2281,22.6307,-0.111423,0.44912,0.0266299,-0.647263,0.275297,0.529387,-0.158114,-0.00666554,0.222158,0.962082,-0.234629,0.087899,-0.0212621,0.967869,0.523713,-0.052515,-1.35537,0.38193,-0.000262425,-0.935325,2.99661,0.521933,-4.15695,2.69655,-0.130703,-3.05849,6.0,3.0,3.0,6.0,3.0,3.0
20000.0,74.2193,-68.7317,23.6013,72.8951,-70.1972,22.6846,-0.24883,0.382036,0.00721366,-0.509856,0.342381,0.548803,-0.134719,0.00140084,0.154828,0.978712,-0.2118,0.103764,-0.0684292,0.969377,0.438089,0.154169,-1.43626,0.368771,0.151918,-1.11944,2.82118,0.941603,-4.37915,2.62769,0.178479,-3.62863,6.0,3.0,3.0,6.0,3.0,3.0
30000.0,74.1866,-68.6968,23.6007,72.852,-70.1596,22.7408,-0.407112,0.314983,-0.0241431,-0.351574,0.409434,0.58016,-0.112381,0.0209272,0.0828362,0.989985,-0.18799,0.129029,-0.122577,0.965912,0.385968,0.352612,-1.56841,0.380369,0.317658,-1.29434,2.72675,1.31147,-4.80084,2.62651,0.500513,-4.20523,6.0,3.0,3.0,6.0,3.0,3.0
40000.0,74.1446,-68.6686,23.594,72.8181,-70.1155,22.8031,-0.280747,0.226814,-0.113926,-0.477939,0.497603,0.669943,-0.0892069,0.0440181,0.00770364,0.99501,-0.16121,0.158403,-0.1754,0.958204,0.420508,0.133244,-1.28668,0.472792,0.17302,-0.830308,2.85803,0.411718,-4.00265,2.90557,-0.129218,-2.90448,6.0,3.0,3.0,6.0,3.0,3.0
50000.0,74.1646,-68.6663,23.585,72.7222,-70.0453,22.8677,0.403599,-0.115307,-0.0820828,-1.16228,0.839724,0.6381,-0.0708146,0.0335601,-0.00344888,0.996919,-0.142017,0.144812,-0.160029,0.966049,0.313655,-0.375326,0.306721,0.331273,-0.551481,0.853894,1.82973,-1.13634,0.860991,1.79231,-1.96291,2.35534,6.0,3.0,3.0,6.0,3.0,3.0
60000.0,74.1956,-68.6809,23.5759,72.6153,-69.9582,22.9324,0.216468,-0.168091,-0.0971569,-0.975154,0.892508,0.653174,-0.0559065,0.0170834,0.00665836,0.998268,-0.12793,0.117417,-0.125013,0.976841,0.299668,-0.26002,0.115803,0.306181,-0.453122,0.628147,1.77583,-0.770072,0.31683,1.73298,-1.59671,1.71361,6.0,3.0,3.0,6.0,3.0,3.0
70000.0,74.21,-68.6991,23.5657,72.5252,-69.8676,22.9982,0.0785475,-0.193188,-0.10613,-0.837234,0.917605,0.662147,-0.041171,0.00567898,0.00841792,0.999101,-0.113817,0.0957293,-0.0998785,0.983822,0.296241,-0.194965,-0.0180465,0.29242,-0.374106,0.4469,1.76817,-0.57051,-0.064731,1.71073,-1.31152,1.19716,6.0,3.0,3.0,6.0,3.0,3.0
80000.0,74.2127,-68.7193,23.5548,72.4466,-69.775,23.0647,-0.0196332,-0.208684,-0.111967,-0.739053,0.933101,0.667984,-0.0264377,-0.00313528,0.00500728,0.999633,-0.0997173,0.0779379,-0.0816471,0.988593,0.296254,-0.160997,-0.101611,0.283991,-0.320122,0.324011,1.77066,-0.474015,-0.299539,1.69617,-1.11367,0.85265,6.0,3.0,3.0,6.0,3.0,3.0
90000.0,74.2067,-68.7407,23.5434,72.3767,-69.6812,23.1317,-0.0966877,-0.218667,-0.115793,-0.661999,0.943084,0.67181,-0.0116633,-0.0105535,-0.00187948,0.999875,-0.0856547,0.0628961,-0.0683356,0.991987,0.297451,-0.141283,-0.161231,0.27874,-0.279427,0.234012,1.77556,-0.426952,-0.465009,1.68639,-0.964889,0.604213,6.0,3.0,3.0,6.0,3.0,3.0
100000.0,74.1937,-68.7629,23.5317,72.3138,-69.5865,23.199,-0.161935,-0.225091,-0.118981,-0.596752,0.949508,0.674998,0.00316596,-0.0171806,-0.011385,0.999783,-0.0716192,0.0499286,-0.0587761,0.994446,0.299348,-0.130482,-0.207965,0.275858,-0.247961,0.1638,1.78214,-0.411686,-0.593562,1.68263,-0.851232,0.412755,6.0,3.0,3.0,6.0,3.0,3.0
110000.0,74.1745,-68.7856,23.5196,72.2571,-69.4913,23.2667,-0.220775,-0.2291,-0.121589,-0.537911,0.953517,0.677606,0.018053,-0.0234153,-0.0230275,0.999298,-0.0575765,0.03857,-0.0522425,0.996227,0.301368,-0.124875,-0.247554,0.274551,-0.222183,0.106809,1.78777,-0.416131,-0.701954,1.6827,-0.760576,0.259061,6.0,3.0,3.0,6.0,3.0,3.0
120000.0,74.1497,-68.8086,23.5074,72.2061,-69.3959,23.3345,-0.27621,-0.231291,-0.123468,-0.482477,0.955708,0.679484,0.0329804,-0.0294512,-0.036545,0.998353,-0.0435141,0.028518,-0.0481838,0.997483,0.303211,-0.121377,-0.283697,0.27429,-0.201142,0.0608853,1.79064,-0.430421,-0.801187,1.68502,-0.688977,0.136935,6.0,3.0,3.0,6.0,3.0,3.0
130000.0,74.1193,-68.8318,23.495,72.1605,-69.3002,23.4025,-0.330549,-0.232005,-0.124802,-0.428138,0.956422,0.680818,0.047923,-0.0353914,-0.0518034,0.996879,-0.0294155,0.0194743,-0.0461307,0.998312,0.304848,-0.119396,-0.317756,0.274793,-0.184569,0.0238339,1.79062,-0.452384,-0.895345,1.68931,-0.63477,0.0400603,6.0,3.0,3.0,6.0,3.0,3.0
140000.0,74.0835,-68.855,23.4824,72.1205,-69.2046,23.4707,-0.38629,-0.231834,-0.126173,-0.372396,0.956251,0.68219,0.0628593,-0.0413629,-0.0687,0.994796,-0.0152717,0.0111821,-0.0456492,0.998778,0.306478,-0.120627,-0.35097,0.275687,-0.173022,-0.00362612,1.78949,-0.486937,-0.987987,1.69436,-0.598801,-0.0291224,6.0,3.0,3.0,6.0,3.0,3.0
150000.0,74.042,-68.8781,23.4697,72.0861,-69.109,23.539,-0.443762,-0.229983,-0.127138,-0.314924,0.9544,0.683154,0.0777876,-0.0475499,-0.0872372,0.992007,-0.00109442,0.00338657,-0.0463083,0.998921,0.308319,-0.124877,-0.385569,0.276316,-0.16545,-0.0225855,1.78845,-0.533612,-1.08556,1.69694,-0.577009,-0.0735662,6.0,3.0,3.0,6.0,3.0,3.0
160000.0,73.9947,-68.9009,23.457,72.0576,-69.0138,23.6073,-0.504218,-0.22582,-0.127382,-0.254468,0.950237,0.683399,0.0926906,-0.0541081,-0.107492,0.988396,0.0130986,-0.00413431,-0.047697,0.998767,0.309974,-0.131585,-0.423754,0.276641,-0.162265,-0.033258,1.78461,-0.590614,-1.19466,1.69778,-0.569958,-0.0936632,6.0,3.0,3.0,6.0,3.0,3.0
170000.0,73.941,-68.9232,23.4443,72.0354,-68.9191,23.6756,-0.570177,-0.219121,-0.127398,-0.188509,0.943538,0.683414,0.107538,-0.0612495,-0.129638,0.983808,0.0272842,-0.0116414,-0.0493559,0.998341,0.311168,-0.143384,-0.46718,0.276148,-0.165483,-0.0336127,1.77798,-0.666397,-1.31996,1.69531,-0.582872,-0.0829309,6.0,3.0,3.0,6.0,3.0,3.0
180000.0,73.8803,-68.9447,23.4316,72.0202,-68.8252,23.744,-0.645081,-0.208929,-0.127009,-0.113605,0.933346,0.683026,0.122274,-0.0693369,-0.153934,0.978032,0.0414371,-0.0195176,-0.0506906,0.997664,0.310952,-0.161757,-0.519796,0.27459,-0.177366,-0.0204229,1.76385,-0.765555,-1.47304,1.69009,-0.621652,-0.0309915,6.0,3.0,3.0,6.0,3.0,3.0
190000.0,73.8116,-68.9648,23.4189,72.0131,-68.7326,23.8122,-0.733249,-0.193106,-0.125222,-0.0254375,0.917523,0.681239,0.136793,-0.0788015,-0.180878,0.970753,0.055519,-0.0281948,-0.050872,0.996762,0.308756,-0.187504,-0.589054,0.270838,-0.200318,0.0117133,1.7386,-0.890857,-1.67598,1.67824,-0.692078,0.0792077,6.0,3.0,3.0,6.0,3.0,3.0
200000.0,73.7329,-68.983,23.4066,72.0159,-68.642,23.8801,-0.843849,-0.16844,-0.121525,0.0851632,0.892857,0.677542,0.150913,-0.0902905,-0.211361,0.961457,0.0694563,-0.038315,-0.0486298,0.995662,0.302338,-0.225668,-0.686738,0.263164,-0.242413,0.0756595,1.69272,-1.058,-1.96373,1.65631,-0.816479,0.287725,6.0,3.0,3.0,6.0,3.0,3.0
210000.0,73.6415,-68.998,23.3947,72.0315,-68.5546,23.9476,-0.99382,-0.127521,-0.114427,0.235134,0.851938,0.670444,0.164274,-0.104984,-0.246886,0.949231,0.083121,-0.0509956,-0.0416998,0.99436,0.287538,-0.285917,-0.835121,0.246937,-0.318515,0.194289,1.61075,-1.29752,-2.40207,1.61,-1.03569,0.665711,6.0,3.0,3.0,6.0,3.0,3.0
220000.0,73.5324,-69.0076,23.3838,72.0647,-68.4725,24.0141,-1.19139,-0.0617271,-0.106393,0.432699,0.786144,0.66241,0.176302,-0.124759,-0.289536,0.932481,0.0960843,-0.0682045,-0.0268371,0.992671,0.263306,-0.377293,-1.0214,0.209164,-0.451539,0.35689,1.50599,-1.65379,-2.94749,1.4685,-1.41106,1.1814,6.0,3.0,3.0,6.0,3.0,3.0
230000.0,73.4127,-69.0158,23.3695,72.1085,-68.3918,24.084,-1.06893,-0.197935,-0.228074,0.310248,0.922352,0.784091,0.190868,-0.146252,-0.326064,0.914255,0.105794,-0.0915145,-0.014134,0.990067,0.401769,-0.391435,-0.258639,0.136465,-0.465957,-0.183046,2.36107,-2.18642,-0.55402,0.773735,-1.41542,-0.483071,6.0,3.0,3.0,6.0,3.0,3.0
240000.0,73.3263,-69.0515,23.341,72.1191,-68.2837,24.1681,-0.736197,-0.406552,-0.28668,-0.0224897,1.13097,0.842696,0.220679,-0.145273,-0.307237,0.914222,0.112827,-0.113594,-0.0489654,0.985885,0.525326,-0.0753177,0.798054,0.288842,-0.357498,-1.13721,2.85609,-1.26783,2.6106,1.10365,-1.10238,-3.35954,6.0,3.0,3.0,6.0,3.0,3.0
250000.0,73.2519,-69.0864,23.3145,72.1176,-68.1764,24.2502,-0.800485,-0.282339,-0.248216,0.0417988,1.00676,0.804233,0.249303,-0.128466,-0.272733,0.920305,0.120728,-0.1415,-0.111467,0.976206,0.451863,-0.0166451,0.821894,0.263486,-0.532992,-1.33447,2.48897,-0.83401,2.60485,0.924669,-1.63511,-3.96762,6.0,3.0,3.0,6.0,3.0,3.0
260000.0,73.1618,-69.1074,23.2909,72.1318,-68.083,24.3295,-1.006,-0.136486,-0.225437,0.247315,0.860903,0.781454,0.273283,-0.118474,-0.235325,0.92515,0.125,-0.179088,-0.171945,0.960592,0.295481,-0.248858,0.848928,0.140882,-0.752268,-1.25631,2.06411,-1.43057,2.67067,0.494859,-2.2877,-3.74412,6.0,3.0,3.0,6.0,3.0,3.0
270000.0,73.0522,-69.1145,23.2688,72.1655,-68.0034,24.4071,-1.13971,-0.0331797,-0.226567,0.381029,0.757597,0.782584,0.292147,-0.122339,-0.189771,0.929339,0.125006,-0.225517,-0.225866,0.939415,0.106026,-0.544377,0.855953,0.0778901,-0.835097,-1.18146,1.46542,-2.1751,2.71671,0.304409,-2.548,-3.51174,6.0,3.0,3.0,6.0,3.0,3.0
280000.0,72.9638,-69.1329,23.2423,72.1781,-67.9125,24.4892,-0.526179,-0.381822,-0.255047,-0.232507,1.10624,0.811064,0.301129,-0.136228,-0.17205,0.927988,0.138941,-0.242701,-0.276553,0.919407,0.174392,-0.019763,-0.489916,1.04493,0.293155,-0.893253,0.773739,-0.170575,-1.42837,3.71048,0.424766,-2.38811,6.0,3.0,3.0,6.0,3.0,3.0
290000.0,72.9185,-69.1715,23.2234,72.1475,-67.8015,24.5638,-0.487034,-0.32899,-0.14547,-0.271652,1.05341,0.701487,0.306116,-0.138538,-0.20718,0.918791,0.176751,-0.208766,-0.334451,0.901842,0.218578,0.110826,-0.679991,1.20222,0.489679,-0.86398,0.794909,0.258497,-2.01967,4.17262,0.912999,-2.37979,6.0,3.0,3.0,6.0,3.0,3.0
300000.0,72.8629,-69.1969,23.2112,72.1272,-67.7036,24.6315,-0.616624,-0.186276,-0.101098,-0.142062,0.910693,0.657115,0.30897,-0.144719,-0.235771,0.909948,0.210683,-0.178708,-0.386641,0.879878,0.103169,-0.0524988,-0.510957,1.02239,0.3379,-0.822595,0.447904,-0.242224,-1.51364,3.5859,0.398449,-2.34439,6.0,3.0,3.0,6.0,3.0,3.0
310000.0,72.7969,-69.2102,23.2027,72.1174,-67.6179,24.6956,-0.696826,-0.0853028,-0.0696843,-0.0618604,0.80972,0.625701,0.309571,-0.156044,-0.254764,0.902724,0.239556,-0.155707,-0.43291,0.85496,0.0145281,-0.164335,-0.393344,0.89943,0.247184,-0.794483,0.178212,-0.584219,-1.15971,3.16632,0.0802292,-2.3357,6.0,3.0,3.0,6.0,3.0,3.0
320000.0,72.7245,-69.2149,23.1971,72.1139,-67.5408,24.7569,-0.747265,-0.0110744,-0.0442746,-0.0114208,0.735491,0.600291,0.308468,-0.170956,-0.267214,0.896782,0.264919,-0.136931,-0.474898,0.827973,-0.0530911,-0.241115,-0.313128,0.819196,0.195742,-0.773113,-0.0294179,-0.81841,-0.916337,2.87196,-0.108698,-2.33949,6.0,3.0,3.0,6.0,3.0,3.0
330000.0,72.648,-69.213,23.1938,72.1145,-67.4702,24.8158,-0.78086,0.045964,-0.0227808,0.0221734,0.678453,0.578798,0.305989,-0.18849,-0.274946,0.891766,0.287778,-0.120629,-0.513552,0.79931,-0.107231,-0.297184,-0.254441,0.767071,0.165587,-0.754695,-0.195956,-0.989477,-0.736177,2.6607,-0.225095,-2.34738,6.0,3.0,3.0,6.0,3.0,3.0
340000.0,72.5687,-69.206,23.1925,72.118,-67.4048,24.8727,-0.804207,0.0930377,-0.00322067,0.0455207,0.631379,0.559237,0.30233,-0.208021,-0.279105,0.887369,0.30878,-0.105777,-0.549359,0.769202,-0.151968,-0.339354,-0.211206,0.731595,0.146471,-0.737327,-0.33473,-1.1174,-0.601564,2.49825,-0.299285,-2.35521,6.0,3.0,3.0,6.0,3.0,3.0
350000.0,72.4874,-69.1947,23.193,72.1234,-67.3437,24.9277,-0.820416,0.132409,0.0144951,0.0617296,0.592008,0.541522,0.297611,-0.229107,-0.280494,0.883324,0.328327,-0.0917659,-0.582602,0.737805,-0.189707,-0.371701,-0.179363,0.708653,0.133798,-0.720316,-0.453407,-1.21423,-0.500787,2.37299,-0.345402,-2.36158,6.0,3.0,3.0,6.0,3.0,3.0
