timestep,c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
0.0,31.6964,33.1999,2.65769,30.4465,32.7857,2.21772,-0.174338,-0.148874,0.342228,0.321745,0.465986,-0.586924,0.226503,0.190187,0.189909,0.936194,-0.316802,0.117796,0.175313,0.924676,0.519474,-0.543876,0.269037,-0.352299,-0.665975,-0.730981,1.89596,-1.45734,0.700556,-1.73081,-2.1826,-1.94956,6.0,3.0,3.0,6.0,3.0,3.0
10000.0,31.685,33.1959,2.6893,30.4726,32.8213,2.16164,-0.0335942,0.0717533,0.291664,0.181001,0.245359,-0.53636,0.239443,0.160379,0.180398,0.940427,-0.325333,0.0815798,0.145747,0.930731,0.102533,-0.419555,-1.06237,0.206377,-1.1404,0.14964,0.69109,-1.07804,-3.28055,0.361609,-3.48073,0.516203,6.0,3.0,3.0,6.0,3.0,3.0
20000.0,31.6703,33.2008,2.71787,30.502,32.8481,2.1086,-0.322739,-0.00622628,0.278972,0.470146,0.323339,-0.523668,0.246577,0.129237,0.124314,0.952388,-0.322104,0.0234106,0.144119,0.935377,-0.0538489,-0.213577,-1.3564,0.247508,-0.975125,0.421867,0.220706,-0.51796,-4.14472,0.544681,-2.97798,1.29384,6.0,3.0,3.0,6.0,3.0,3.0
30000.0,31.62,33.1935,2.74371,30.567,32.8872,2.05829,-0.576969,-0.125824,0.23187,0.724375,0.442936,-0.476566,0.249253,0.106386,0.0613915,0.960617,-0.318058,-0.0238897,0.151396,0.9356,-0.112886,-0.224664,-1.17959,0.200073,-0.68731,0.348239,-0.17251,-0.6447,-3.56853,0.507439,-2.09099,1.04974,6.0,3.0,3.0,6.0,3.0,3.0
40000.0,31.607,33.1832,2.76943,30.5948,32.9292,2.0081,0.220281,-0.0926323,0.279888,-0.0728741,0.409745,-0.524584,0.242644,0.0551999,0.0610859,0.966615,-0.30818,-0.0486509,0.124149,0.941937,-0.142505,-1.63914,0.558503,0.432938,-0.504279,-0.988128,-1.67368,-5.10045,1.77287,2.07864,-1.29948,-2.95215,6.0,3.0,3.0,6.0,3.0,3.0
50000.0,31.6139,33.1693,2.79246,30.6026,32.9748,1.9606,-0.139521,-0.184165,0.168089,0.286927,0.501277,-0.412785,0.226465,-0.0134728,0.112142,0.967448,-0.29274,-0.0517614,0.0682445,0.952348,-0.216319,-1.47047,0.688658,0.399078,-0.202621,-1.03158,-2.01703,-4.70746,1.95807,2.08479,-0.463476,-3.04193,6.0,3.0,3.0,6.0,3.0,3.0
60000.0,31.5866,33.1522,2.80243,30.6447,33.0237,1.92616,-0.263201,-0.0731065,0.0380964,0.410607,0.390219,-0.282793,0.206986,-0.0710987,0.150286,0.964114,-0.274573,-0.0499176,0.0222695,0.960011,-0.215288,-1.21195,-0.0639369,0.549387,-0.463922,-0.534378,-2.15268,-4.05111,-0.509706,3.04636,-1.29306,-1.48552,6.0,3.0,3.0,6.0,3.0,3.0
70000.0,31.5711,33.1611,2.79974,30.6749,33.0464,1.90438,-0.201368,0.159763,-0.108282,0.348775,0.157349,-0.136414,0.187878,-0.131779,0.122402,0.965585,-0.240676,-0.0935848,0.00319837,0.966078,-0.108417,-1.02007,-1.19526,0.800468,-1.11537,0.107359,-2.15237,-3.42525,-4.17277,4.60765,-3.23107,0.724673,6.0,3.0,3.0,6.0,3.0,3.0
80000.0,31.5311,33.1754,2.77928,30.7297,33.0638,1.90037,-0.602264,0.122009,-0.299897,0.749671,0.195104,0.0552007,0.168171,-0.185923,0.072088,0.965378,-0.201355,-0.145183,-0.00794562,0.968667,-0.106362,-0.769671,-1.25195,0.779765,-0.981768,0.106007,-2.0772,-2.45542,-4.48781,4.45009,-2.85037,0.944984,6.0,3.0,3.0,6.0,3.0,3.0
90000.0,31.4652,33.1847,2.74493,30.8103,33.0862,1.91025,-0.482936,0.0376382,-0.305924,0.630342,0.279474,0.061228,0.149931,-0.222785,0.0201969,0.963057,-0.164105,-0.201936,-0.021763,0.965307,-0.140007,-0.384379,-0.883853,0.707174,-1.66234,-0.135199,-1.76961,-1.11129,-3.30417,3.64867,-4.94665,0.255203,6.0,3.0,3.0,6.0,3.0,3.0
