timestep,c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
0.0,-31.0386,-50.2199,-87.8203,-31.3698,-51.7271,-88.0953,0.0300414,0.623972,-0.028608,0.850353,0.0573524,-0.805673,-0.397579,-0.262149,-0.0801829,0.875659,-0.353564,-0.190828,-0.191104,0.895576,-0.485844,-0.0562743,-0.0371956,-1.40172,0.555661,0.800621,-1.64898,-0.537051,0.247447,-5.26668,0.161262,3.64825,3.0,6.0,3.0,3.0,6.0,3.0
10000.0,-31.0298,-50.147,-87.8384,-31.2906,-51.7318,-88.1607,0.212329,0.899269,-0.445004,0.668065,-0.217944,-0.389277,-0.399931,-0.267313,-0.0785707,0.87317,-0.403606,-0.198606,-0.135149,0.882832,0.513617,-0.0129542,0.348714,-0.75984,0.0461494,0.844171,1.48055,-0.153566,1.1589,-3.27286,-1.44931,4.17325,3.0,6.0,3.0,3.0,6.0,3.0
20000.0,-31.0018,-50.0551,-87.8986,-31.2305,-51.7556,-88.1838,0.279097,0.833267,-0.635155,0.601298,-0.151942,-0.199126,-0.357427,-0.270653,-0.0608947,0.891787,-0.413185,-0.227819,-0.0988058,0.876136,0.805285,0.191322,0.669484,-0.40965,-0.313182,0.779998,2.39733,0.528764,2.04553,-2.18065,-2.62236,4.12804,3.0,6.0,3.0,3.0,6.0,3.0
30000.0,-30.978,-49.9861,-87.957,-31.1663,-51.7564,-88.2089,0.1975,0.546851,-0.52677,0.682894,0.134473,-0.307511,-0.319623,-0.269647,-0.0373275,0.9076,-0.428466,-0.258069,-0.0671005,0.863316,0.513905,0.251506,0.60313,-0.760039,-0.284375,0.634262,1.53094,0.718928,1.83453,-3.17062,-2.50153,3.76613,3.0,6.0,3.0,3.0,6.0,3.0
40000.0,-30.962,-49.945,-88.0042,-31.0943,-51.7294,-88.2452,0.124472,0.281854,-0.420944,0.755923,0.39947,-0.413337,-0.295063,-0.265656,-0.0125236,0.917719,-0.460211,-0.284604,-0.0367815,0.840151,0.254403,0.272215,0.519761,-1.1069,-0.275091,0.479788,0.759129,0.797904,1.57143,-4.17269,-2.33497,3.41919,3.0,6.0,3.0,3.0,6.0,3.0
50000.0,-30.9535,-49.9257,-88.0436,-31.0148,-51.6806,-88.2892,0.0388765,0.16005,-0.398354,0.841518,0.521275,-0.435927,-0.281543,-0.260775,0.00706313,0.923407,-0.502735,-0.307137,-0.00681076,0.808009,0.164945,0.14419,0.205697,-1.19636,-0.206105,0.462028,0.509154,0.522616,0.56105,-4.41225,-1.89089,3.4664,3.0,6.0,3.0,3.0,6.0,3.0
60000.0,-30.9548,-49.8965,-88.0932,-30.9254,-51.6416,-88.323,-0.0509551,0.454512,-0.620989,0.931349,0.226813,-0.213291,-0.267671,-0.260276,-0.0033831,0.927684,-0.529641,-0.32629,0.0289179,0.782419,0.540456,-0.159477,-0.376657,-0.550069,-0.0145582,0.734718,1.67749,-0.148254,-1.3207,-2.36607,-1.08582,4.22432,3.0,6.0,3.0,3.0,6.0,3.0
70000.0,-30.9609,-49.8434,-88.1644,-30.8312,-51.6266,-88.3352,-0.0690909,0.54991,-0.765667,0.949485,0.131414,-0.0686139,-0.24307,-0.262351,-0.031257,0.933334,-0.527363,-0.347134,0.061393,0.773057,0.646547,-0.129603,-0.332109,-0.0779052,-0.0880652,0.720866,2.02407,0.0108044,-1.19495,-0.785391,-1.15156,3.90784,3.0,6.0,3.0,3.0,6.0,3.0
80000.0,-30.9679,-49.793,-88.2407,-30.7362,-51.6089,-88.3423,-0.063492,0.451659,-0.746685,0.943886,0.229666,-0.087596,-0.219765,-0.262093,-0.0529862,0.938191,-0.517638,-0.369801,0.0844224,0.766923,0.479341,-0.0508254,-0.22728,-0.0481092,-0.18565,0.626917,1.53116,0.237134,-0.848739,-0.625148,-1.41067,3.50607,3.0,6.0,3.0,3.0,6.0,3.0
90000.0,-30.9715,-49.7516,-88.3125,-30.6446,-51.5821,-88.354,0.00225799,0.38891,-0.6868,0.878136,0.292414,-0.147481,-0.20465,-0.259591,-0.063921,0.941618,-0.509334,-0.394261,0.102626,0.758027,0.227652,0.0618814,-0.00925475,-0.0530388,-0.296604,0.606044,0.758454,0.488151,-0.1451,-0.651086,-1.80981,3.52399,3.0,6.0,3.0,3.0,6.0,3.0
100000.0,-30.9664,-49.7141,-88.3782,-30.5616,-51.5515,-88.3717,0.096333,0.353599,-0.627416,0.784061,0.327725,-0.206865,-0.198861,-0.254486,-0.0573807,0.944669,-0.4999,-0.42316,0.11773,0.746442,-0.0274459,0.192119,0.26315,-0.0256004,-0.410219,0.636949,-0.032832,0.792284,0.707616,-0.625078,-2.27809,3.78618,3.0,6.0,3.0,3.0,6.0,3.0
110000.0,-30.9538,-49.6839,-88.4378,-30.4862,-51.5136,-88.3955,0.149716,0.236935,-0.563424,0.730678,0.44439,-0.270857,-0.200805,-0.247278,-0.0384958,0.947127,-0.490884,-0.455177,0.13138,0.731154,-0.187626,0.246036,0.348035,-0.109622,-0.485536,0.624798,-0.528057,0.923381,0.971051,-0.929534,-2.5967,3.84886,3.0,6.0,3.0,3.0,6.0,3.0
