timestep,c_com_1[1],c_com_1[2],c_com_1[3],c_com_2[1],c_com_2[2],c_com_2[3],c_vel_1[1],c_vel_1[2],c_vel_1[3],c_vel_2[1],c_vel_2[2],c_vel_2[3],c_q_1[1],c_q_1[2],c_q_1[3],c_q_1[4],c_q_2[1],c_q_2[2],c_q_2[3],c_q_2[4],c_av_1[1],c_av_1[2],c_av_1[3],c_av_2[1],c_av_2[2],c_av_2[3],c_am_1[1],c_am_1[2],c_am_1[3],c_am_2[1],c_am_2[2],c_am_2[3],c_i_1[1],c_i_1[2],c_i_1[3],c_i_2[1],c_i_2[2],c_i_2[3]
439200.0,35.8191,-33.4784,9.96434,35.8594,-34.6061,10.0602,0.278664,0.481024,0.0717428,0.454429,0.129167,0.129274,0.194168,0.0962724,-0.0558712,0.974633,0.141685,-0.329442,-0.154625,0.920589,-0.0629906,-0.09697,-0.261881,0.485434,0.0040109,0.0559246,-0.274364,-0.826959,-1.00029,1.52336,0.331681,0.294909,3.0,6.0,3.0,3.0,6.0,3.0
439300.0,35.8193,-33.4779,9.96441,35.8598,-34.606,10.0603,0.27915,0.479314,0.072137,0.453943,0.130878,0.128879,0.194153,0.0961981,-0.0559931,0.974636,0.141918,-0.329399,-0.154678,0.92056,-0.063947,-0.0957251,-0.264453,0.485747,0.00267745,0.059483,-0.277329,-0.823057,-1.00791,1.52436,0.327993,0.305887,3.0,6.0,3.0,3.0,6.0,3.0
439400.0,35.8196,-33.4774,9.96448,35.8603,-34.6058,10.0604,0.279637,0.477581,0.0725341,0.453456,0.13261,0.128482,0.194137,0.0961242,-0.0561165,0.974639,0.142152,-0.329356,-0.15473,0.92053,-0.0648726,-0.0944929,-0.266989,0.486028,0.00135658,0.063006,-0.2802,-0.819177,-1.01543,1.52526,0.324327,0.316753,3.0,6.0,3.0,3.0,6.0,3.0
439500.0,35.8199,-33.4769,9.96455,35.8608,-34.6057,10.0606,0.280125,0.475827,0.0729341,0.452968,0.134364,0.128082,0.194121,0.0960506,-0.0562412,0.974643,0.142386,-0.329314,-0.154781,0.920501,-0.0657677,-0.0932735,-0.26949,0.486277,4.84251e-05,0.0664935,-0.282978,-0.81532,-1.02283,1.52606,0.320684,0.327506,3.0,6.0,3.0,3.0,6.0,3.0
439600.0,35.8202,-33.4765,9.96463,35.8612,-34.6056,10.0607,0.280614,0.474051,0.0733369,0.452479,0.13614,0.12768,0.194104,0.0959773,-0.0563673,0.974646,0.142621,-0.329272,-0.154829,0.920471,-0.0666324,-0.0920672,-0.271956,0.486494,-0.00124689,0.0699456,-0.285665,-0.811487,-1.03012,1.52675,0.317064,0.338148,3.0,6.0,3.0,3.0,6.0,3.0
439700.0,35.8205,-33.476,9.9647,35.8617,-34.6054,10.0608,0.281103,0.472256,0.0737426,0.45199,0.137936,0.127274,0.194087,0.0959043,-0.0564948,0.974649,0.142857,-0.32923,-0.154876,0.920442,-0.067467,-0.0908739,-0.274386,0.486679,-0.00252923,0.0733624,-0.28826,-0.807679,-1.03729,1.52735,0.313468,0.348678,3.0,6.0,3.0,3.0,6.0,3.0
439800.0,35.8207,-33.4755,9.96477,35.8621,-34.6053,10.0609,0.281594,0.470439,0.074151,0.451499,0.139752,0.126865,0.19407,0.0958316,-0.0566236,0.974652,0.143094,-0.329188,-0.154922,0.920412,-0.0682716,-0.0896938,-0.276781,0.486832,-0.00379847,0.0767439,-0.290764,-0.803896,-1.04435,1.52785,0.309898,0.359097,3.0,6.0,3.0,3.0,6.0,3.0
439900.0,35.821,-33.4751,9.96485,35.8626,-34.6052,10.0611,0.282086,0.468603,0.0745622,0.451007,0.141588,0.126454,0.194052,0.0957593,-0.0567537,0.974655,0.143331,-0.329147,-0.154965,0.920383,-0.0690466,-0.0885272,-0.27914,0.486954,-0.00505449,0.0800901,-0.293179,-0.800138,-1.0513,1.52824,0.306352,0.369405,3.0,6.0,3.0,3.0,6.0,3.0
440000.0,35.8213,-33.4746,9.96492,35.863,-34.605,10.0612,0.282579,0.466748,0.0749761,0.450514,0.143443,0.12604,0.194034,0.0956873,-0.0568851,0.974658,0.143569,-0.329106,-0.155007,0.920353,-0.069792,-0.0873739,-0.281464,0.487045,-0.00629717,0.0834012,-0.295504,-0.796408,-1.05814,1.52854,0.302833,0.379603,3.0,6.0,3.0,3.0,6.0,3.0
440100.0,35.8216,-33.4741,9.965,35.8635,-34.6049,10.0613,0.283073,0.464873,0.0753928,0.45002,0.145318,0.125624,0.194016,0.0956155,-0.0570177,0.974661,0.143808,-0.329065,-0.155048,0.920324,-0.0705082,-0.0862343,-0.283752,0.487104,-0.00752638,0.0866773,-0.29774,-0.792705,-1.06486,1.52875,0.299341,0.38969,3.0,6.0,3.0,3.0,6.0,3.0
440200.0,35.8219,-33.4737,9.96507,35.8639,-34.6047,10.0614,0.283569,0.462981,0.0758122,0.449524,0.14721,0.125204,0.193997,0.0955441,-0.0571516,0.974664,0.144047,-0.329025,-0.155087,0.920294,-0.0711953,-0.0851084,-0.286005,0.487132,-0.00874202,0.0899184,-0.299889,-0.78903,-1.07148,1.52885,0.295877,0.399667,3.0,6.0,3.0,3.0,6.0,3.0
440300.0,35.8221,-33.4732,9.96515,35.8644,-34.6046,10.0616,0.284065,0.46107,0.0762343,0.449028,0.149121,0.124782,0.193979,0.095473,-0.0572868,0.974667,0.144287,-0.328985,-0.155124,0.920265,-0.0718535,-0.0839963,-0.288223,0.487129,-0.00994395,0.0931246,-0.30195,-0.785384,-1.07798,1.52886,0.292442,0.409535,3.0,6.0,3.0,3.0,6.0,3.0
440400.0,35.8224,-33.4727,9.96523,35.8648,-34.6044,10.0617,0.284562,0.459141,0.0766591,0.448531,0.15105,0.124357,0.19396,0.0954022,-0.0574231,0.974669,0.144527,-0.328945,-0.15516,0.920235,-0.0724831,-0.0828982,-0.290405,0.487095,-0.0111321,0.0962959,-0.303925,-0.781768,-1.08437,1.52877,0.289036,0.419294,3.0,6.0,3.0,3.0,6.0,3.0
440500.0,35.8227,-33.4723,9.9653,35.8653,-34.6043,10.0618,0.285061,0.457196,0.0770865,0.448032,0.152996,0.12393,0.193941,0.0953317,-0.0575607,0.974672,0.144768,-0.328905,-0.155194,0.920205,-0.0730843,-0.0818141,-0.292552,0.487031,-0.0123063,0.0994326,-0.305814,-0.778182,-1.09065,1.52859,0.285659,0.428944,3.0,6.0,3.0,3.0,6.0,3.0
440600.0,35.823,-33.4718,9.96538,35.8657,-34.6041,10.0619,0.28556,0.455233,0.0775167,0.447533,0.154958,0.1235,0.193921,0.0952616,-0.0576994,0.974675,0.14501,-0.328866,-0.155227,0.920176,-0.0736573,-0.0807441,-0.294664,0.486936,-0.0134664,0.102535,-0.307617,-0.774627,-1.09682,1.52831,0.282314,0.438487,3.0,6.0,3.0,3.0,6.0,3.0
440700.0,35.8233,-33.4714,9.96546,35.8662,-34.604,10.0621,0.286061,0.453255,0.0779495,0.447032,0.156937,0.123067,0.193901,0.0951917,-0.0578392,0.974677,0.145252,-0.328827,-0.155258,0.920146,-0.0742023,-0.0796885,-0.29674,0.48681,-0.0146125,0.105602,-0.309336,-0.771104,-1.10288,1.52794,0.278999,0.447921,3.0,6.0,3.0,3.0,6.0,3.0
440800.0,35.8236,-33.4709,9.96554,35.8666,-34.6038,10.0622,0.286562,0.45126,0.0783851,0.44653,0.158931,0.122631,0.193882,0.0951221,-0.0579802,0.974679,0.145495,-0.328789,-0.155288,0.920117,-0.0747196,-0.0786472,-0.298781,0.486654,-0.0157442,0.108636,-0.310971,-0.767613,-1.10882,1.52747,0.275717,0.457248,3.0,6.0,3.0,3.0,6.0,3.0
440900.0,35.8239,-33.4705,9.96562,35.867,-34.6036,10.0623,0.287065,0.44925,0.0788233,0.446027,0.160941,0.122193,0.193862,0.0950527,-0.0581223,0.974682,0.145738,-0.32875,-0.155316,0.920087,-0.0752092,-0.0776204,-0.300787,0.486468,-0.0168617,0.111635,-0.312523,-0.764155,-1.11466,1.5269,0.272467,0.466468,3.0,6.0,3.0,3.0,6.0,3.0
441000.0,35.8242,-33.47,9.96569,35.8675,-34.6035,10.0624,0.28757,0.447226,0.0792642,0.445523,0.162965,0.121752,0.193841,0.0949837,-0.0582655,0.974684,0.145982,-0.328712,-0.155342,0.920058,-0.0756716,-0.0766082,-0.302757,0.486251,-0.0179646,0.1146,-0.313992,-0.760731,-1.12039,1.52624,0.269251,0.475581,3.0,6.0,3.0,3.0,6.0,3.0
441100.0,35.8244,-33.4696,9.96577,35.8679,-34.6033,10.0626,0.288075,0.445186,0.0797079,0.445018,0.165005,0.121309,0.193821,0.094915,-0.0584097,0.974686,0.146226,-0.328675,-0.155368,0.920028,-0.0761068,-0.0756106,-0.304693,0.486004,-0.019053,0.11753,-0.315379,-0.757341,-1.12601,1.52549,0.266068,0.484589,3.0,6.0,3.0,3.0,6.0,3.0
441200.0,35.8247,-33.4691,9.96585,35.8684,-34.6032,10.0627,0.288582,0.443133,0.0801543,0.444511,0.167058,0.120862,0.193801,0.0948465,-0.058555,0.974688,0.146471,-0.328637,-0.155391,0.919999,-0.076515,-0.0746279,-0.306593,0.485726,-0.0201267,0.120427,-0.316685,-0.753986,-1.13151,1.52465,0.26292,0.493491,3.0,6.0,3.0,3.0,6.0,3.0
441300.0,35.825,-33.4687,9.96593,35.8688,-34.603,10.0628,0.289086,0.441069,0.0806034,0.444007,0.169122,0.120413,0.19378,0.0947783,-0.0587013,0.97469,0.146716,-0.3286,-0.155413,0.919969,-0.0768965,-0.0736595,-0.308461,0.485419,-0.0211853,0.123287,-0.317911,-0.750668,-1.13692,1.52371,0.259807,0.502277,3.0,6.0,3.0,3.0,6.0,3.0
441400.0,35.8253,-33.4682,9.96602,35.8693,-34.6028,10.0629,0.289591,0.438992,0.0810552,0.443502,0.171199,0.119961,0.193759,0.0947104,-0.0588487,0.974692,0.146961,-0.328563,-0.155434,0.91994,-0.0772515,-0.0727059,-0.310296,0.485081,-0.0222287,0.126112,-0.319056,-0.747386,-1.14223,1.52267,0.256728,0.510953,3.0,6.0,3.0,3.0,6.0,3.0
441500.0,35.8256,-33.4678,9.9661,35.8697,-34.6026,10.063,0.290097,0.436903,0.0815098,0.442996,0.173288,0.119507,0.193738,0.0946428,-0.058997,0.974694,0.147207,-0.328527,-0.155454,0.91991,-0.0775802,-0.0717674,-0.312096,0.484713,-0.0232573,0.128902,-0.320123,-0.74414,-1.14743,1.52154,0.253686,0.519525,3.0,6.0,3.0,3.0,6.0,3.0
441600.0,35.8259,-33.4674,9.96618,35.8702,-34.6025,10.0632,0.290604,0.434801,0.0819672,0.442489,0.17539,0.119049,0.193717,0.0945754,-0.0591463,0.974695,0.147453,-0.32849,-0.155471,0.919881,-0.0778828,-0.070844,-0.31386,0.484315,-0.0242707,0.13166,-0.32111,-0.740932,-1.15252,1.52032,0.250681,0.527993,3.0,6.0,3.0,3.0,6.0,3.0
441700.0,35.8262,-33.4669,9.96626,35.8706,-34.6023,10.0633,0.291113,0.432688,0.0824275,0.44198,0.177503,0.118589,0.193696,0.0945083,-0.0592965,0.974697,0.147699,-0.328454,-0.155488,0.919851,-0.0781595,-0.069936,-0.315589,0.483887,-0.025269,0.134384,-0.32202,-0.737762,-1.15749,1.51901,0.247713,0.536358,3.0,6.0,3.0,3.0,6.0,3.0
441800.0,35.8265,-33.4665,9.96634,35.871,-34.6021,10.0634,0.291623,0.430564,0.0828906,0.44147,0.179627,0.118126,0.193675,0.0944415,-0.0594477,0.974698,0.147946,-0.328418,-0.155503,0.919822,-0.0784105,-0.0690433,-0.317283,0.483429,-0.026252,0.137076,-0.322852,-0.734631,-1.16237,1.5176,0.244784,0.544621,3.0,6.0,3.0,3.0,6.0,3.0
441900.0,35.8268,-33.4661,9.96643,35.8715,-34.6019,10.0635,0.292135,0.428428,0.0833567,0.440958,0.181763,0.11766,0.193654,0.0943749,-0.0595998,0.9747,0.148193,-0.328383,-0.155517,0.919792,-0.078636,-0.0681661,-0.318942,0.48294,-0.0272197,0.139734,-0.323607,-0.731539,-1.16713,1.5161,0.241894,0.552782,3.0,6.0,3.0,3.0,6.0,3.0
442000.0,35.8271,-33.4656,9.96651,35.8719,-34.6017,10.0636,0.292648,0.426282,0.0838258,0.440445,0.183909,0.117191,0.193633,0.0943086,-0.0597528,0.974701,0.14844,-0.328348,-0.155529,0.919763,-0.0788363,-0.0673045,-0.320565,0.482422,-0.0281719,0.142359,-0.324286,-0.728486,-1.17178,1.51451,0.239043,0.560841,3.0,6.0,3.0,3.0,6.0,3.0
442100.0,35.8273,-33.4652,9.96659,35.8724,-34.6016,10.0637,0.293162,0.424127,0.0842978,0.439931,0.186064,0.116719,0.193611,0.0942425,-0.0599067,0.974702,0.148688,-0.328313,-0.15554,0.919734,-0.0790114,-0.0664586,-0.322154,0.481873,-0.0291086,0.144952,-0.324889,-0.725474,-1.17632,1.51283,0.236232,0.568799,3.0,6.0,3.0,3.0,6.0,3.0
442200.0,35.8276,-33.4648,9.96668,35.8728,-34.6014,10.0639,0.293678,0.421961,0.0847729,0.439415,0.18823,0.116244,0.19359,0.0941767,-0.0600614,0.974703,0.148936,-0.328278,-0.15555,0.919704,-0.0791617,-0.0656284,-0.323706,0.481294,-0.0300297,0.147512,-0.325417,-0.722502,-1.18076,1.51105,0.233461,0.576656,3.0,6.0,3.0,3.0,6.0,3.0
442300.0,35.8279,-33.4644,9.96676,35.8732,-34.6012,10.064,0.294196,0.419787,0.085251,0.438897,0.190404,0.115765,0.193569,0.0941112,-0.0602169,0.974704,0.149184,-0.328243,-0.155558,0.919675,-0.0792873,-0.0648141,-0.325224,0.480685,-0.0309351,0.150039,-0.325871,-0.719572,-1.18509,1.50918,0.230732,0.584414,3.0,6.0,3.0,3.0,6.0,3.0
442400.0,35.8282,-33.464,9.96685,35.8737,-34.601,10.0641,0.294715,0.417604,0.0857323,0.438378,0.192587,0.115284,0.193547,0.0940458,-0.0603733,0.974705,0.149432,-0.328209,-0.155565,0.919646,-0.0793883,-0.0640157,-0.326706,0.480046,-0.0318246,0.152534,-0.326252,-0.716684,-1.18931,1.50721,0.228044,0.592071,3.0,6.0,3.0,3.0,6.0,3.0
442500.0,35.8285,-33.4635,9.96694,35.8741,-34.6008,10.0642,0.295236,0.415413,0.0862167,0.437857,0.194778,0.1148,0.193526,0.0939807,-0.0605304,0.974706,0.14968,-0.328175,-0.15557,0.919617,-0.0794651,-0.0632334,-0.328153,0.479376,-0.0326982,0.154997,-0.326559,-0.713838,-1.19342,1.50516,0.225398,0.59963,3.0,6.0,3.0,3.0,6.0,3.0
442600.0,35.8288,-33.4631,9.96702,35.8746,-34.6006,10.0643,0.295758,0.413214,0.0867044,0.437335,0.196977,0.114312,0.193504,0.0939159,-0.0606884,0.974706,0.149929,-0.328141,-0.155575,0.919587,-0.0795178,-0.0624672,-0.329565,0.478675,-0.0335558,0.157428,-0.326793,-0.711035,-1.19742,1.503,0.222795,0.60709,3.0,6.0,3.0,3.0,6.0,3.0
442700.0,35.8291,-33.4627,9.96711,35.875,-34.6004,10.0644,0.296283,0.411008,0.0871954,0.43681,0.199183,0.113821,0.193483,0.0938512,-0.060847,0.974707,0.150177,-0.328108,-0.155578,0.919558,-0.0795465,-0.0617172,-0.330941,0.477945,-0.0343974,0.159827,-0.326955,-0.708276,-1.20131,1.50076,0.220236,0.614452,3.0,6.0,3.0,3.0,6.0,3.0
442800.0,35.8294,-33.4623,9.9672,35.8754,-34.6002,10.0645,0.296809,0.408795,0.0876897,0.436284,0.201396,0.113327,0.193462,0.0937868,-0.0610065,0.974708,0.150426,-0.328075,-0.155579,0.919529,-0.0795515,-0.0609835,-0.332281,0.477183,-0.0352228,0.162195,-0.327046,-0.70556,-1.2051,1.49842,0.21772,0.621716,3.0,6.0,3.0,3.0,6.0,3.0
442900.0,35.8297,-33.4619,9.96728,35.8759,-34.6,10.0647,0.297337,0.406575,0.0881874,0.435756,0.203616,0.112829,0.19344,0.0937227,-0.0611666,0.974708,0.150675,-0.328042,-0.15558,0.9195,-0.0795329,-0.0602662,-0.333586,0.476391,-0.0360319,0.16453,-0.327066,-0.702889,-1.20878,1.49599,0.215248,0.628883,3.0,6.0,3.0,3.0,6.0,3.0
443000.0,35.83,-33.4615,9.96737,35.8763,-34.5998,10.0648,0.297867,0.40435,0.0886886,0.435226,0.205841,0.112328,0.193419,0.0936587,-0.0613274,0.974708,0.150924,-0.328009,-0.155579,0.919471,-0.079491,-0.0595655,-0.334856,0.475568,-0.0368246,0.166834,-0.327015,-0.700263,-1.21234,1.49346,0.212821,0.635953,3.0,6.0,3.0,3.0,6.0,3.0
443100.0,35.8303,-33.4611,9.96746,35.8767,-34.5996,10.0649,0.298398,0.402119,0.0891933,0.434695,0.208072,0.111823,0.193398,0.093595,-0.0614889,0.974708,0.151172,-0.327976,-0.155577,0.919442,-0.0794258,-0.0588813,-0.33609,0.474714,-0.0376009,0.169107,-0.326895,-0.697683,-1.21581,1.49084,0.210439,0.642927,3.0,6.0,3.0,3.0,6.0,3.0
443200.0,35.8306,-33.4607,9.96755,35.8772,-34.5994,10.065,0.298932,0.399883,0.0897015,0.434161,0.210308,0.111315,0.193377,0.0935314,-0.061651,0.974708,0.151421,-0.327944,-0.155574,0.919413,-0.0793377,-0.0582138,-0.337288,0.473829,-0.0383607,0.171348,-0.326705,-0.695148,-1.21916,1.48813,0.208103,0.649805,3.0,6.0,3.0,3.0,6.0,3.0
443300.0,35.8309,-33.4603,9.96764,35.8776,-34.5992,10.0651,0.299468,0.397643,0.0902134,0.433625,0.212548,0.110803,0.193356,0.0934681,-0.0618138,0.974708,0.15167,-0.327912,-0.155569,0.919385,-0.0792267,-0.0575631,-0.338451,0.472913,-0.0391038,0.173558,-0.326447,-0.69266,-1.2224,1.48532,0.205814,0.656588,3.0,6.0,3.0,3.0,6.0,3.0
443400.0,35.8312,-33.4599,9.96773,35.878,-34.599,10.0652,0.300006,0.395398,0.0907291,0.433087,0.214793,0.110287,0.193335,0.093405,-0.0619772,0.974708,0.151919,-0.32788,-0.155563,0.919356,-0.079093,-0.0569292,-0.339577,0.471966,-0.0398303,0.175737,-0.326121,-0.690219,-1.22554,1.48241,0.203571,0.663275,3.0,6.0,3.0,3.0,6.0,3.0
443500.0,35.8315,-33.4595,9.96782,35.8785,-34.5987,10.0653,0.300545,0.39315,0.0912485,0.432547,0.217041,0.109768,0.193314,0.0933421,-0.0621412,0.974708,0.152168,-0.327849,-0.155556,0.919327,-0.0789368,-0.0563123,-0.340668,0.470987,-0.0405399,0.177885,-0.325727,-0.687826,-1.22856,1.47941,0.201375,0.669868,3.0,6.0,3.0,3.0,6.0,3.0
443600.0,35.8318,-33.4591,9.96791,35.8789,-34.5985,10.0654,0.301088,0.390899,0.0917718,0.432005,0.219292,0.109245,0.193293,0.0932793,-0.0623057,0.974707,0.152417,-0.327817,-0.155548,0.919299,-0.0787583,-0.0557124,-0.341723,0.469977,-0.0412327,0.180002,-0.325265,-0.68548,-1.23148,1.47631,0.199227,0.676367,3.0,6.0,3.0,3.0,6.0,3.0
443700.0,35.8321,-33.4587,9.96801,35.8793,-34.5983,10.0655,0.301632,0.388644,0.092299,0.431461,0.221547,0.108717,0.193273,0.0932168,-0.0624708,0.974707,0.152665,-0.327786,-0.155538,0.91927,-0.0785577,-0.0551296,-0.342742,0.468935,-0.0419085,0.182088,-0.324737,-0.683183,-1.23429,1.47312,0.197128,0.682772,3.0,6.0,3.0,3.0,6.0,3.0
443800.0,35.8324,-33.4583,9.9681,35.8798,-34.5981,10.0657,0.302178,0.386388,0.0928303,0.430915,0.223803,0.108186,0.193252,0.0931544,-0.0626364,0.974706,0.152914,-0.327755,-0.155528,0.919242,-0.078335,-0.0545641,-0.343724,0.467861,-0.0425672,0.184144,-0.324143,-0.680934,-1.23698,1.46982,0.195077,0.689084,3.0,6.0,3.0,3.0,6.0,3.0
443900.0,35.8327,-33.4579,9.96819,35.8802,-34.5979,10.0658,0.302727,0.384129,0.0933656,0.430366,0.226062,0.107651,0.193232,0.0930923,-0.0628026,0.974706,0.153162,-0.327724,-0.155516,0.919213,-0.0780906,-0.0540159,-0.344671,0.466755,-0.0432087,0.18617,-0.323483,-0.678735,-1.23957,1.46644,0.193075,0.695303,3.0,6.0,3.0,3.0,6.0,3.0
