timestep,body_id,id,x,y,z
0.0,1.0,1.0,-1.97257,12.0276,11.3377
0.0,1.0,2.0,-1.54382,12.556,12.0705
0.0,1.0,3.0,-0.770517,12.1734,12.5762
0.0,1.0,4.0,-0.425974,11.2626,12.349
0.0,1.0,5.0,-0.85473,10.7342,11.6162
0.0,1.0,6.0,-1.62803,11.1167,11.1105
0.0,1.0,7.0,-1.19927,11.6451,11.8434
0.0,2.0,8.0,-0.265572,14.6746,11.8615
0.0,2.0,9.0,-0.895477,15.2341,12.4001
0.0,2.0,10.0,-1.59947,15.7765,11.9417
0.0,2.0,11.0,-1.67356,15.7595,10.9446
0.0,2.0,12.0,-1.04366,15.2,10.4059
0.0,2.0,13.0,-0.339662,14.6575,10.8643
0.0,2.0,14.0,-0.969568,15.217,11.403
1000.0,1.0,1.0,-1.97365,12.0308,11.3413
1000.0,1.0,2.0,-1.54261,12.5553,12.0755
1000.0,1.0,3.0,-0.770026,12.1687,12.5791
1000.0,1.0,4.0,-0.428486,11.2576,12.3485
1000.0,1.0,5.0,-0.859528,10.7331,11.6143
1000.0,1.0,6.0,-1.63211,11.1197,11.1107
1000.0,1.0,7.0,-1.20107,11.6442,11.8449
1000.0,2.0,8.0,-0.271679,14.6685,11.8609
1000.0,2.0,9.0,-0.900756,15.2294,12.399
1000.0,2.0,10.0,-1.60074,15.7764,11.9398
1000.0,2.0,11.0,-1.67164,15.7624,10.9424
1000.0,2.0,12.0,-1.04256,15.2015,10.4043
1000.0,2.0,13.0,-0.342581,14.6545,10.8635
1000.0,2.0,14.0,-0.971658,15.2154,11.4016
2000.0,1.0,1.0,-1.97471,12.0341,11.3449
2000.0,1.0,2.0,-1.54139,12.5547,12.0805
2000.0,1.0,3.0,-0.769545,12.164,12.5821
2000.0,1.0,4.0,-0.431014,11.2526,12.348
2000.0,1.0,5.0,-0.864332,10.732,11.6124
2000.0,1.0,6.0,-1.63618,11.1227,11.1108
2000.0,1.0,7.0,-1.20286,11.6433,11.8464
2000.0,2.0,8.0,-0.277809,14.6624,11.8602
2000.0,2.0,9.0,-0.906052,15.2248,12.3979
2000.0,2.0,10.0,-1.60199,15.7762,11.9379
2000.0,2.0,11.0,-1.66969,15.7653,10.9403
2000.0,2.0,12.0,-1.04145,15.2029,10.4026
2000.0,2.0,13.0,-0.345506,14.6515,10.8626
2000.0,2.0,14.0,-0.973749,15.2139,11.4003
3000.0,1.0,1.0,-1.97576,12.0373,11.3485
3000.0,1.0,2.0,-1.54017,12.5541,12.0855
3000.0,1.0,3.0,-0.769073,12.1592,12.585
3000.0,1.0,4.0,-0.433558,11.2476,12.3475
3000.0,1.0,5.0,-0.869143,10.7309,11.6104
3000.0,1.0,6.0,-1.64024,11.1257,11.1109
3000.0,1.0,7.0,-1.20466,11.6425,11.848
3000.0,2.0,8.0,-0.283963,14.6564,11.8596
3000.0,2.0,9.0,-0.911365,15.2201,12.3968
3000.0,2.0,10.0,-1.60324,15.776,11.936
3000.0,2.0,11.0,-1.66772,15.7682,10.9381
3000.0,2.0,12.0,-1.04032,15.2044,10.401
3000.0,2.0,13.0,-0.348439,14.6485,10.8617
3000.0,2.0,14.0,-0.975841,15.2123,11.3989
4000.0,1.0,1.0,-1.97678,12.0405,11.3521
4000.0,1.0,2.0,-1.53894,12.5534,12.0905
4000.0,1.0,3.0,-0.768609,12.1545,12.5879
4000.0,1.0,4.0,-0.436118,11.2427,12.3469
4000.0,1.0,5.0,-0.873959,10.7298,11.6085
4000.0,1.0,6.0,-1.64429,11.1287,11.1111
4000.0,1.0,7.0,-1.20645,11.6416,11.8495
4000.0,2.0,8.0,-0.29014,14.6503,11.8589
4000.0,2.0,9.0,-0.916695,15.2155,12.3956
4000.0,2.0,10.0,-1.60449,15.7758,11.9341
4000.0,2.0,11.0,-1.66573,15.771,10.936
4000.0,2.0,12.0,-1.03917,15.2058,10.3994
4000.0,2.0,13.0,-0.351378,14.6455,10.8608
4000.0,2.0,14.0,-0.977933,15.2107,11.3975
5000.0,1.0,1.0,-1.97779,12.0438,11.3557
5000.0,1.0,2.0,-1.53771,12.5528,12.0955
5000.0,1.0,3.0,-0.768155,12.1497,12.5908
5000.0,1.0,4.0,-0.438694,11.2378,12.3464
5000.0,1.0,5.0,-0.878782,10.7288,11.6066
5000.0,1.0,6.0,-1.64833,11.1318,11.1113
5000.0,1.0,7.0,-1.20824,11.6408,11.851
5000.0,2.0,8.0,-0.29634,14.6442,11.8582
5000.0,2.0,9.0,-0.922042,15.2108,12.3944
5000.0,2.0,10.0,-1.60573,15.7756,11.9323
5000.0,2.0,11.0,-1.66371,15.7738,10.9339
5000.0,2.0,12.0,-1.03801,15.2072,10.3978
5000.0,2.0,13.0,-0.354325,14.6424,10.8599
5000.0,2.0,14.0,-0.980026,15.209,11.3961
6000.0,1.0,1.0,-1.97879,12.047,11.3593
6000.0,1.0,2.0,-1.53646,12.5521,12.1004
6000.0,1.0,3.0,-0.76771,12.145,12.5937
6000.0,1.0,4.0,-0.441286,11.2329,12.3458
6000.0,1.0,5.0,-0.883611,10.7278,11.6047
6000.0,1.0,6.0,-1.65236,11.1349,11.1115
6000.0,1.0,7.0,-1.21004,11.6399,11.8526
6000.0,2.0,8.0,-0.302563,14.6382,11.8575
6000.0,2.0,9.0,-0.927405,15.2062,12.3932
6000.0,2.0,10.0,-1.60696,15.7754,11.9304
6000.0,2.0,11.0,-1.66168,15.7766,10.9319
6000.0,2.0,12.0,-1.03684,15.2086,10.3962
6000.0,2.0,13.0,-0.357278,14.6394,10.859
6000.0,2.0,14.0,-0.98212,15.2074,11.3947
7000.0,1.0,1.0,-1.97976,12.0503,11.3629
7000.0,1.0,2.0,-1.53521,12.5514,12.1054
7000.0,1.0,3.0,-0.767275,12.1403,12.5965
7000.0,1.0,4.0,-0.443893,11.228,12.3453
7000.0,1.0,5.0,-0.888446,10.7268,11.6028
7000.0,1.0,6.0,-1.65638,11.138,11.1117
7000.0,1.0,7.0,-1.21183,11.6391,11.8541
7000.0,2.0,8.0,-0.308808,14.6322,11.8568
7000.0,2.0,9.0,-0.932785,15.2016,12.392
7000.0,2.0,10.0,-1.60819,15.7752,11.9285
7000.0,2.0,11.0,-1.65962,15.7794,10.9299
7000.0,2.0,12.0,-1.03564,15.21,10.3947
7000.0,2.0,13.0,-0.360238,14.6364,10.8581
7000.0,2.0,14.0,-0.984215,15.2058,11.3933
8000.0,1.0,1.0,-1.98072,12.0535,11.3666
8000.0,1.0,2.0,-1.53395,12.5507,12.1103
8000.0,1.0,3.0,-0.766848,12.1355,12.5994
8000.0,1.0,4.0,-0.446517,11.2231,12.3447
8000.0,1.0,5.0,-0.893287,10.7259,11.6009
8000.0,1.0,6.0,-1.66039,11.1411,11.1119
8000.0,1.0,7.0,-1.21362,11.6383,11.8556
8000.0,2.0,8.0,-0.315076,14.6261,11.856
8000.0,2.0,9.0,-0.938182,15.1969,12.3908
8000.0,2.0,10.0,-1.60942,15.7749,11.9267
8000.0,2.0,11.0,-1.65754,15.7821,10.9278
8000.0,2.0,12.0,-1.03444,15.2113,10.3931
8000.0,2.0,13.0,-0.363204,14.6333,10.8572
